wavelength-um            Radiance-case1           Radiance-case2           Radiance-case3           
2.493093093093093238e+00 1.313232419998106515e+01 1.956940141952078193e+03 4.334600441301849969e+03
2.506906906906907206e+00 1.352693945703403600e+01 1.964927053210058830e+03 4.329122151525315530e+03
2.520720720720721175e+00 1.401369946673421829e+01 1.974034060144526620e+03 4.294165885989511480e+03
2.534534534534534700e+00 1.438159258312026623e+01 1.980085854783740388e+03 4.261004180121360150e+03
2.548348348348348669e+00 1.493657650930136960e+01 1.987665582598164065e+03 4.259914539965282529e+03
2.562162162162162637e+00 1.519913994636525878e+01 1.994227469391789782e+03 4.224095076296423940e+03
2.575975975975976162e+00 1.570578185852059150e+01 2.001531957529483634e+03 4.207700348256132202e+03
2.589789789789790131e+00 1.585040075777820867e+01 2.007883134195019466e+03 4.178097989302545102e+03
2.603603603603604100e+00 1.643515428208736395e+01 2.014003155809240297e+03 4.156246947601288412e+03
2.617417417417417624e+00 1.699148034248947070e+01 2.019505393106033125e+03 4.122364380439373235e+03
2.631231231231231593e+00 1.757146152968810071e+01 2.025489463533998332e+03 4.130834253410192105e+03
2.645045045045045118e+00 1.778886463156879216e+01 2.030065562222744347e+03 4.083583569248129152e+03
2.658858858858859087e+00 1.825808589403300886e+01 2.034616941235911781e+03 4.062896504654717319e+03
2.672672672672673055e+00 1.872075996102108419e+01 2.037044311150653812e+03 4.034463696655325293e+03
2.686486486486486580e+00 1.937442644533792802e+01 2.044001699218650856e+03 4.036111402723997344e+03
2.700300300300300549e+00 1.965400937689647520e+01 2.047689554638850268e+03 3.998916877140886754e+03
2.714114114114114518e+00 2.032823502268049509e+01 2.050903965566684747e+03 3.974026010345497070e+03
2.727927927927928042e+00 2.074926724099623243e+01 2.053905540604996986e+03 3.944555058526567336e+03
2.741741741741742011e+00 2.131116041599146982e+01 2.057462934327561925e+03 3.916073055517858393e+03
2.755555555555555980e+00 2.185339687607770642e+01 2.059243425341505372e+03 3.903194572931932726e+03
2.769369369369369505e+00 2.249156132421609655e+01 2.062140159046524332e+03 3.872917775827661899e+03
2.783183183183183473e+00 2.296148603799176868e+01 2.064091745991973767e+03 3.867055019082637500e+03
2.796996996996997442e+00 2.350062650313800106e+01 2.065820438437262965e+03 3.828083180010735305e+03
2.810810810810810967e+00 2.416883975145004371e+01 2.067776871590036080e+03 3.809941345125776479e+03
2.824624624624624936e+00 2.480063298642013692e+01 2.070132399600160170e+03 3.813679537327956496e+03
2.838438438438438904e+00 2.526261609743484016e+01 2.070363682594791044e+03 3.758895565204330069e+03
2.852252252252252429e+00 2.590784180627986899e+01 2.071718165882281937e+03 3.705591560368372939e+03
2.866066066066066398e+00 2.649566273729891819e+01 2.071796350034546322e+03 3.704631057334541310e+03
2.879879879879880367e+00 2.709829554912083793e+01 2.072202839252210651e+03 3.705183170309176148e+03
2.893693693693693891e+00 2.755532338063949283e+01 2.072734930960991733e+03 3.655193725157044810e+03
2.907507507507507860e+00 2.838368852556829580e+01 2.072215124798592115e+03 3.651235509349867698e+03
2.921321321321321829e+00 2.872062227955347424e+01 2.073580823271694499e+03 3.601053020526817818e+03
2.935135135135135354e+00 2.947195671409883033e+01 2.071630729088840781e+03 3.590938924821769433e+03
2.948948948948949322e+00 2.999860247966529414e+01 2.070887054509179052e+03 3.566296054203567564e+03
2.962762762762762847e+00 3.086245853211198664e+01 2.070657128274688603e+03 3.551700032294186713e+03
2.976576576576576816e+00 3.130670812844662265e+01 2.068836141040108487e+03 3.509117854880149025e+03
2.990390390390390785e+00 3.201299604285335931e+01 2.067385557533047177e+03 3.496804218242496063e+03
3.004204204204204309e+00 3.263895609555769539e+01 2.066267372266530856e+03 3.472106090365762611e+03
3.018018018018018278e+00 3.338816162600961235e+01 2.065158576691971120e+03 3.449670573401891488e+03
3.031831831831832247e+00 3.397315166221829941e+01 2.061711106094623574e+03 3.409597166633268898e+03
3.045645645645645772e+00 3.457568796066225758e+01 2.060316864700192582e+03 3.387118333112535765e+03
3.059459459459459740e+00 3.514929790979792301e+01 2.058581575328737927e+03 3.371615586249579337e+03
3.073273273273273709e+00 3.597991372560671408e+01 2.056462489465165163e+03 3.331232606246316664e+03
3.087087087087087234e+00 3.654623913387283807e+01 2.053323727861139105e+03 3.320819053919808084e+03
3.100900900900901203e+00 3.718751340540965344e+01 2.050111432965051335e+03 3.297063032021202616e+03
3.114714714714715171e+00 3.787192307968985006e+01 2.048190967139290024e+03 3.275925167402253919e+03
3.128528528528528696e+00 3.855921915248821819e+01 2.044859577905134984e+03 3.236932205194766084e+03
3.142342342342342665e+00 3.913942118706339102e+01 2.041726772136960108e+03 3.218775356189349623e+03
3.156156156156156634e+00 4.000410978403603934e+01 2.038156906129168419e+03 3.220668318773688952e+03
3.169969969969970158e+00 4.060349260201154920e+01 2.034126898210081890e+03 3.177457735827140823e+03
3.183783783783784127e+00 4.139820897363478025e+01 2.030834767566454957e+03 3.156104040976294527e+03
3.197597597597598096e+00 4.180337838746556400e+01 2.026926743181061966e+03 3.137393148081628169e+03
3.211411411411411621e+00 4.277268385721103527e+01 2.023211340904165581e+03 3.116269754484667828e+03
3.225225225225225589e+00 4.350148599254139725e+01 2.019663402201767440e+03 3.075429073385101674e+03
3.239039039039039558e+00 4.390386789406839796e+01 2.014667465556408388e+03 3.063258701367695267e+03
3.252852852852853083e+00 4.484988005898259189e+01 2.010024085097177704e+03 3.038631592257315333e+03
3.266666666666667052e+00 4.553855391666657937e+01 2.006039323940379063e+03 3.013550474547023441e+03
3.280480480480480576e+00 4.635015580745201902e+01 2.000777496217919406e+03 3.011648159906565979e+03
3.294294294294294545e+00 4.688301068082125767e+01 1.996772082789991373e+03 3.001623815411757278e+03
3.308108108108108514e+00 4.779627633585668889e+01 1.991367572471798894e+03 2.943355737405227046e+03
3.321921921921922038e+00 4.828962617804317858e+01 1.986270321802415538e+03 2.936010193572747994e+03
3.335735735735736007e+00 4.903959604173874709e+01 1.982375860600868918e+03 2.895063781336728425e+03
3.349549549549549976e+00 4.965615350250251936e+01 1.976478822021467749e+03 2.890899643881548400e+03
3.363363363363363501e+00 5.057906836538577977e+01 1.971880356195222475e+03 2.885786364145849802e+03
3.377177177177177470e+00 5.144134432738574958e+01 1.965425497684771699e+03 2.856417115538680719e+03
3.390990990990991438e+00 5.177690500214791314e+01 1.960395196797204107e+03 2.812880601713809938e+03
3.404804804804804963e+00 5.264557873401120247e+01 1.954489101561295683e+03 2.800726220313591512e+03
3.418618618618618932e+00 5.328999656885710579e+01 1.948962619660745531e+03 2.791816356735381305e+03
3.432432432432432901e+00 5.400374857075792789e+01 1.943490227290795701e+03 2.749567256910791912e+03
3.446246246246246425e+00 5.483313167489012585e+01 1.938625488262965746e+03 2.740254616859267117e+03
3.460060060060060394e+00 5.548086402816006313e+01 1.931718258914023863e+03 2.716825045449895697e+03
3.473873873873874363e+00 5.626358595174500010e+01 1.925212092902104132e+03 2.685343365160776557e+03
3.487687687687687887e+00 5.681278089737499926e+01 1.919685210184641392e+03 2.688952820956899814e+03
3.501501501501501856e+00 5.747630822834437936e+01 1.913004008273839645e+03 2.662790826794941040e+03
3.515315315315315825e+00 5.836110810765285350e+01 1.906880888929667890e+03 2.635319772274560364e+03
3.529129129129129350e+00 5.902356606629314228e+01 1.901510517396714476e+03 2.621724329341505836e+03
3.542942942942943318e+00 5.975362269770771206e+01 1.893657021834395664e+03 2.614655275776336566e+03
3.556756756756757287e+00 6.024503986914547937e+01 1.888713576824432266e+03 2.582451295095846490e+03
3.570570570570570812e+00 6.113804196834552585e+01 1.882756446909528677e+03 2.557219059312315039e+03
3.584384384384384781e+00 6.171922532459330313e+01 1.874696693371142146e+03 2.530628610910170210e+03
